Full Name,Faculty,Research Interests
Ethem Özgüven,Faculty of Communication,"['video art / short film', 'video art', 'documentary', 'audiovisual production', 'contra']"
Melike Özmen,Faculty of Communication,"['storytelling', 'urban communication', 'experience design', 'information design', 'history design', 'visual culture', 'transmedia', 'design theories', 'visual storytelling', 'visual communication design', 'visual arts', 'urban graphics']"
Oğuz Öztunalı,Faculty of Business,"['macroeconomics', 'growth development', 'applied econometrics', 'economic inequality intergenerational transmission socioeconomic disadvantages']"
Ayşegül Öztürk,Vocational School of Health Services,"['oral implantology', 'botulinum toxin (botox) injections', 'implant supported prostheses', 'dentistry', 'dental implant burs', 'oral maxillofacial surgery']"
Serda Selin Öztürk,Faculty of Business,"['cryptocurrencies', 'carbon tax', 'sensitivity analysis', 'stochastic volatility', 'electricity prices volatility']"
Gamze Öztürk Danışman,Faculty of Business,"['banking', 'environmental social governance (esg)', 'aidriven corporate performance', 'corporate governance', 'corporate finance', 'sustainable finance']"
Cenktan Özyıldırım,Faculty of Engineering and Natural Sciences,"['stabilization programs banking', 'financial forecasting modeling financial risk management']"
Umut Paksoy,Vocational School of Health Services,"['sports sciences', 'physical therapy rehabilitation']"
Mehmet Nur Alpaslan Parlakçı,Faculty of Engineering and Natural Sciences,"['hinfinity control', 'variable structure control', 'time delay systems', 'linear matrix inequalities', 'robust control']"
Süheyla Pehlevan,General Education Department,['turkish language']
Amina Rezoug Ayar,Faculty of Architecture,"['computational methods', 'decolonial theories', 'home culture', 'digital fabrication', 'design anthropology', 'shape grammars', 'use design contexts']"
Şadan İnan Rüma,Faculty of Social Sciences and Humanities,"['economic security', 'political economy turkish foreign policy energy politics', 'balkans', 'eurasia', 'russia', 'international political economy']"
Erkan Saka,Faculty of Communication,"['media/digital anthropology', 'science technology studies (sts)', 'digital ethnography', 'digital disinformation', 'artificial intelligence ethics', 'literacy']"
Kerem Cem Sanlı Sanlı,Faculty of Law,"['competition law policy', 'liability law', 'economic analysis law']"
Murat Sarıbay,Faculty of Engineering and Natural Sciences,"['vibration', 'finite element methods', 'energy density approach', 'residual stress analysis', 'cae methodology development', 'contact mechanics', 'welding', 'plasticity', 'simulation crash behavior', 'static dynamic fracture mechanics', 'user defined subroutines', 'parallel programming', 'computational mechanics', 'mechanical design optimization', 'mixedmode fatigue crack growth', 'structural analysis reliability', 'multiscale fracture', 'lowcycle highcycle fatigue', 'reliability analysis semiconductor packages']"
Baykal Sarıoğlu,Faculty of Engineering and Natural Sciences,"['microelectronics', 'biomedical', 'embedded system']"
Tuğçe Sarul,Vocational School of Health Services,"['molecular biology', 'gene polymorphism', 'genetic factors associated with antisocial behaviors aggression', 'immunology', 'monoaminoxidase a (maoa) gene', 'pathophysiology behavioral disorder gene polymorphisms related neurotransmitters']"
Öznur Sevdiren,Faculty of Law,"['impunity', 'freedom expression', 'criminology', 'penology', 'comparative criminal law', 'international criminal law', 'criminal justice', 'preventive police powers', 'child law juvenile courts', ' data protection law', 'human rights law', 'criminal law', 'hate crimes', 'criminal procedure law', 'hate speech']"
Hande Seven Avuk,Vocational School of Health Services,"['nutritional supplements', 'medical nutrition therapy diseases', 'functional foods', 'clinical nutrition', 'sports nutrition', 'erogenic aids']"
Fikret Soner,School of Advanced Vocational Studies,"['gastrodiplomacy', 'turkish cuisine', 'local cuisines', 'gastronomy tourism', 'local agriculture']"
Cemil Ozan Soydemir,Faculty of Business,"['decent work', 'organization theory', 'business history']"
Mualla Buket Soygüt,Faculty of Law,"['impunity', 'human rights', 'restorative justice', 'violence against women', 'alternative dispute resolution - reconciliation', 'criminal criminal procedure law', 'sanction theory - confiscation', 'humanitarian law', 'hate crimes']"
Yasemin Soylu,Faculty of Architecture,"['sustainability', 'design education', 'design research methods', 'ergonomics', 'design management']"
Elena Battini Sönmez,Faculty of Engineering and Natural Sciences,"['artificial intelligence', 'machine learning', 'humanrobot interaction', 'digital image processing']"
Yudum Söylemez,Faculty of Social Sciences and Humanities,['marriage family therapy']
Özden Sözalan,Faculty of Social Sciences and Humanities,"['literature', 'environment literature', 'british american theater', 'theater film theories']"
Ilgar Şafak,Faculty of Engineering and Natural Sciences,"['hurricanes', 'advanced data analysis', 'laboratory experiments', 'tides', 'rivers', 'hydrodynamics morphodynamics oceans', 'naturebased engineering solutions', 'turbulence', 'numerical modelling', 'nearshore coastal areas', 'currents', 'seas', 'sediment transport', 'lakes', 'field experiments', 'design water coastal structures', 'boundary layer', 'estuaries', 'waves']"
Doruk Şen,Faculty of Engineering and Natural Sciences,"['machine learning', 'computational social science', 'multimodal learning', 'natural language processing', 'network analysis']"
İpek Şen,Faculty of Engineering and Natural Sciences,"['signal processing', 'machine learning', 'biomedical instrumentation']"
Esra Şengelen Sevim,Faculty of Engineering and Natural Sciences,"['2absorbent ideals commutative rings modules', 'finsler geometry', 'applications mathematical physics', 'riemannian geometry', 'commutative algebra', 'infinitesimal transformations some special riemann spaces', 'einstein finsler metrics']"
Cansu Nur Şimşek,Faculty of Business,"['socialecological studies', 'cultural studies', 'digital art', 'digital media', 'heritage', 'game design', 'critical play', 'visual culture', 'visual media communication design', 'critical media studies', 'contemporary art exhibitions', 'video game studies']"
Zeynep Şimşek,Vocational School of Health Services,"['social work', 'migration', 'children', 'seasonal agricultural work']"
Zeynep Talay Turner,Faculty of Social Sciences and Humanities,"['self philosophies', 'ethics', 'philosophy literature']"
İpek Tan Çelebi,Faculty of Communication,"['cultural studies', 'creative industry', 'creative labor', 'advertising history', 'advertising works']"
Turgut Tarhanlı,Faculty of Law,"['nonstate actors international law', 'international peace security law', 'human rights indicators', 'legal regime straits used international navigation montreux convention 1936', 'human rights activism (theoretical basis activism strategy)', 'space law', 'international law treaties', 'business human rights', 'international human rights law', 'monitoring review mechanisms international human rights law', 'international law']"
Tunahan Taşçı,Vocational School of Health Services,"['rna', 'dna', 'dna damage', 'cell viability', 'cell culture', 'toxicology', 'oxidative stress']"
Rana Tekcan,Faculty of Social Sciences and Humanities,"['literary biography', '18th century english literature', 'shakespeare', 'jane austen', 'history theory poetry', 'literary translation']"
Ebru Çiğdem Thwaites Diken,Faculty of Communication,"['danish cinema', 'documentary film', 'film social theory', 'feminist film theories']"
Banu Tomruk,Faculty of Architecture,"['circular architecture', 'urban morphology', 'urban design', 'ecological urbanism', 'ecological restoration']"
Eren Tosyalı,Vocational School of Health Services,"['physics', 'mathematical physics', 'dynamical systems', 'nonlinear dynamical systems', 'chaotic systems', 'statistical physics', 'high energy particle physics', 'condensed matter physics']"
Mehmet Ali Tuğtan,Faculty of Social Sciences and Humanities,"['world politics', 'international relations', 'distance education', 'hybrid', 'digitization', 'turkish foreign policy']"
Aslı Tunç,Faculty of Communication,"['communication research', 'communication theories', 'social media', 'gender', 'new media']"
Kerim Mehmet Murat Tunç,Faculty of Engineering and Natural Sciences,"['steel', 'electric arc steelmaking furnace energy analysis liquid steel']"
Dilara Turan,Faculty of Social Sciences and Humanities,"['cultural studies', 'ethnographic fieldwork', 'music sociology', 'musicology', 'contemporary music scene türkiye']"
Ömer Turan,Faculty of Social Sciences and Humanities,"['social movements', 'political sociology', 'social theory', 'intellectual history', 'historical sociology', 'turkish politics', 'giftgiving', 'social memory']"
Gizem Turna Cebeci,Faculty of Business,"['financial biases', 'risk preference', 'financial literacy', 'experimental economics', 'intergenerational transmission', 'behavioral economics', 'behavioral finance']"
Abdullah Türk,School of Applied Sciences,"['human resources management', 'strategic business management', 'aviation management', 'leadership motivation', 'management organization']"
Mert Uçankale,Vocational School of Health Services,"['denture adhesives', 'dental implants', 'implantsupported prosthesis']"
Başak Uçanok Tan,Faculty of Communication,"['organizational psychology', 'crosscultural management', 'organizational behavior']"
Pınar Uğurlu Kowalski,Faculty of Engineering and Natural Sciences,"['model theory', 'group theory']"
Efe Kaan Ulu,School of Applied Sciences,"['local food', 'gastronomy tourism', 'food heritage', 'functional foods']"
Özlem Ulucan Açan,Faculty of Engineering and Natural Sciences,"['computer aided drug design', 'molecular modeling', 'statistical modeling', 'functional genomics', 'biomolecular interactions']"
Yağmur İdil Ulusoy,Vocational School of Health Services,"['molecular imaging', 'radiation physics', 'single photon emission tomography', 'positron emission tomography', 'medical data analytics', 'nuclear medicine', 'radionuclide dosimetry', 'medical imaging']"
Zuhal Ulusoy,Faculty of Architecture,"['conceptual design', 'evaluation', 'design education', 'graphic representation']"
Oğuz Usman,Faculty of Social Sciences and Humanities,"['musicology', 'music', 'music theory', 'musical composition']"
Ayşe Utkan Kahraman,General Education Department,"['information technology', 'spreadsheet', 'word processing', 'database', 'presentation']"
Pınar Uyan Semerci,Faculty of Social Sciences and Humanities,"['political sociology', 'political movements history political thought', 'political science methodology']"
Ayşe Uyduranoğlu,Faculty of Business,"['climate change', 'ecological citizenship', 'sustainable transport', 'circular economy', 'smart cities', 'energy water policies', 'carbon pricing']"
Veli Şafak Uysal,Faculty of Architecture,"['theory interiority interior (urban interiors', 'history criticism (bodyspace relationship', 'spirituality', 'architectural interior design (design methodologies', 'architectural theory', 'embodiment', 'computational thought', 'spatial narratives', 'utopias', 'cemetery death studies)', 'visual narratives', 'temporality', 'ecology)', 'spatial experience', 'historical experience', 'design education)']"
Reyhan Selin Uysal Atacan,Faculty of Engineering and Natural Sciences,"['spectroscopic analysis methods', 'aroma active phenolic compounds', 'enzyme technology', 'sensor development', 'food chemistry', 'biotechnological processes']"
İdil Üçer Karababa,Faculty of Architecture,"['ancient greek roman art architecture', 'history architecture', 'cultural heritage reuse', 'presentation archaeological sites museums', 'basic design']"
Derya Üçoğlu,Faculty of Business,"['forensic accounting', 'financial reporting', 'accounting education', 'financial analysis']"
Mehmet Ürgüp,School of Advanced Vocational Studies,"['graphic design', 'artificial intelligence', 'ui/ux', 'movie design', 'game design', 'architectural digital design', 'animation', 'augmented reality', '3d design', 'virtual reality', 'motion graphic design', 'visual effect', '3d typography']"
Merve Üsküplü,School of Applied Sciences,"['gender equality', 'empowerment', 'physical activity', 'sports', 'sociology sports', 'serious leisure physical activity', 'gender', ""women's empowerment"", 'media']"
Anıl Özge Üstünel Balcı,Faculty of Social Sciences and Humanities,"['violence against women', 'qualitative research methods', 'dating violence', 'prevention intervention studies mental health', 'gender psychology', 'feminist psychology']"
Ryan Macey Wise,Faculty of Social Sciences and Humanities,"['intergenerational relationships', 'grandparenting', 'aging', 'autonomy development', 'parenting']"
Şebnem Yalınay Çinici,Faculty of Architecture,"['integration highend design production technologies design education', 'philosophy technology architecture', 'ontology', 'sustainable futures', 'selforganizing structures life fictions', 'first year design education', 'architectural design architectural theory', 'nonhierarchical']"
Veliye Yanlı,Faculty of Law,"['commercial law', 'capital markets law', 'company law']"
Candan Yasan Tepetaş,Faculty of Law,"['international arbitration', 'alternative dispute resolution (adr)', 'private international law']"
Abdurrahman Tuğrul Yazar,Faculty of Architecture,"['architectural geometry', 'robotics', 'computational design', 'digital fabrication technologies', 'coding']"
Ege Yazgan,Faculty of Business,"['convergence hypothesis', 'convergans clubs', 'maximum clique algorithm', 'growth economy']"
Nurhan Yentürk,Faculty of Business,"['youth work', 'universitycivil society relations', 'public economy', 'civil society capacity strengthening', 'child studies']"
Elif Aslı Yetkin,Faculty of Engineering and Natural Sciences,"['exotic meson analysis', 'high energy physics', 'complex data analysis', 'detector rd']"
Savaş Yıldırım,Faculty of Engineering and Natural Sciences,"['artificial intelligence', 'machine learning', 'natural language processing', 'deep learning']"
Umman Mahir Yıldırım,Faculty of Engineering and Natural Sciences,"['machine learning', 'metaheuristic approaches', 'transportation logistics problems', 'operations research']"
Yücel Yıldırım,Faculty of Engineering and Natural Sciences,"['ferroelectric materials', 'quantum heat engines', 'high technology superconductors', 'quantum thermodynamics', 'magnetic semiconductors']"
Esra Yıldız,Faculty of Communication,"['ecology', 'memory studies', 'art sustainability', 'visual culture', 'cinema', 'social movements culture', 'gender', 'sociology']"
Funda Yıldız,Vocational School of Health Services,"['disadvantaged groups', 'family health', 'community health', 'violence', 'developmental needs']"
Deniz Yılmaz,Faculty of Engineering and Natural Sciences,"['nanotoxicity', 'nanomaterials', 'nanobiotechnology', 'raman spectroscopy']"
Didem Güneş Yılmaz,Faculty of Architecture,"['climate change', 'fire safety building design', 'disaster management', 'naturebased solutions', 'urban water sensitivity', 'climate change resilient urban design', 'building materials building technologies architecture', 'postdisaster temporarypermanent housing studies']"
Hakan Yılmaz,School of Sports Sciences and Technology,"['brand identity', 'olympic games', 'identification', 'sports marketing', 'life satisfaction', 'sponsorship', 'consumer behavior', 'social identity', 'event management', 'happiness']"
İlyas Yılmaz,Faculty of Engineering and Natural Sciences,"['computational fluid dynamics', 'parallel programming', 'computational heat transfer', 'modeling turbulent flows']"
Alev Yücel,Faculty of Communication,"['journalism', 'political communication', 'digital media', 'media studies']"
Semih Yücel,General Education Department,"['identity communication theories', 'smart cities', 'business model studies', 'gamification', 'cultural difference']"
Yelda Yücel,Faculty of Business,"['economic crises', 'international trade balance payments', 'gender economy', 'labor markets policies', 'macroeconomics', 'economic history', ' great depression']"
Yusuf Yüksekdağ,Faculty of Communication,"['social justice city', 'migration ethics', 'human rights theories', 'ethics datafication', 'ethics', 'commodification', 'smart cities']"
