Full Name,Faculty,Research Interests
Elif Defne Altıntaş,Vocational School of Health Services,"['endodontics', 'pulp', 'cytotoxicity', 'biocompatibility', 'regeneration']"
Emre Altürk,Faculty of Architecture,"['architectural theory', 'architectural design', 'modern urban history', 'urbanizationarchitecture relationship', 'visual studies', 'architectural representation']"
Esra Arıkan,Faculty of Business,"['consumerbrand relationships', 'corporate social responsibility', 'service innovation', 'service cocreation', 'service robots']"
İrem Arıkan Ekşi,School of Applied Sciences,"['textile art', 'fiber art', 'textile history', 'weaving history', 'sustainable fashion practices']"
Pınar Artıran,Faculty of Law,"['international investment law', 'climate change', 'environmental law', 'alternative dispute resolution', 'world trade organization', 'competition law', 'international arbitration', 'international trade law', 'eu law', 'green consensus']"
Nafia Gül Asatekin,Faculty of Architecture,"['architectural design', 'new buildings historical environments', 'aesthetics place', 'interior design', 'theory restoration', 'traditional dwellings anatolia']"
Yonca Aslanbay,Faculty of Communication,"['entrepreneurship', 'consumer behavior', 'sustainable consumption']"
Serap Atakan,Faculty of Business,"['business ethics', 'retailing', 'sustainability', 'social responsibility']"
Oya Aydın,School of Tourism and Hospitality,"['research performance', 'internationalization', 'higher education']"
Aslı Elif Aydın Altınoklar,School of Applied Sciences,"['behaviors financial consumers', 'consumer decision making systems', 'food waste attitudes behaviors consumers', 'physical activity motivation']"
Pınar Aygün,General Education Department,['turkish language']
Evren Aysev,Faculty of Architecture,"['architectural design', 'deep ecology', 'neoliberal urbanization processes', 'urban design', 'anthropocene']"
Fulya Aytaç Türkan,Vocational School of Health Services,"['tumor development', 'biochemistry', 'tumor biomarkers', 'biopolymer', 'enzymology', 'cancer biochemistry', 'food chemistry', 'lactose intolerance']"
Asuman Aytekin İnceoğlu,Faculty of Law,"['violence against women', 'migrant smuggling', 'victimoffender mediation', ""victims' rights"", 'criminal law', 'hate crimes', 'criminal procedure law', 'fundamental rights freedoms', 'banking crimes']"
Gülhan Balsoy,Faculty of Social Sciences and Humanities,"['medical history', 'gender', 'ottoman history', 'ottoman society']"
Abdurrahman Eray Baran,Faculty of Engineering and Natural Sciences,"['medical robotic systems', 'advanced motion control', 'teleoperation', 'control systems', 'prediction techniques', 'micromanipulation microrobotics']"
Bilge Baş,Faculty of Engineering and Natural Sciences,"['multipurpose / hybrid offshore platforms', 'life cycle assessment (lca)', 'coastal structures', 'environmental sustainability', 'physical modeling', 'marine discharges', 'environmental impacts marine renewable energy systems']"
Nilgün Başalp Yıldırım,Faculty of Law,"['comparative law', 'law persons', 'low property law', 'contract law', 'eu data protection law', 'privacy', 'data protection', 'civil law', 'law obligations', 'civil liability']"
Okan Zafer Batur,Faculty of Engineering and Natural Sciences,"['ultra wideband', 'high frequency technique', 'integrated circuits systems', 'sensor reader circuits', 'communication electronics']"
Fatma Bayata,Faculty of Engineering and Natural Sciences,"['mechanical failures', 'automotive aerospace materials', 'solid mechanics', 'fatigue engine parts', 'defense technologies', 'machine design', 'wear', 'internal combustion engines', 'computer aided machine design', 'lightweight vehicle design', 'computational mechanics']"
